Date,2222.SR
2025-06-11,23.660490036010742
2025-06-12,23.698467254638672
2025-06-15,24.116228103637695
2025-06-16,24.021284103393555
2025-06-17,23.717456817626953
2025-06-18,23.64150047302246
2025-06-19,23.56554412841797
2025-06-22,23.56554412841797
2025-06-23,23.489585876464844
2025-06-24,23.109804153442383
2025-06-25,22.919912338256836
2025-06-26,23.071826934814453
2025-06-29,23.071826934814453
2025-06-30,23.09081268310547
2025-07-01,23.128793716430664
2025-07-02,23.30919075012207
2025-07-03,23.52756690979004
2025-07-06,23.61301612854004
2025-07-07,23.812402725219727
2025-07-08,23.83139419555664
2025-07-09,23.62251091003418
2025-07-10,23.77442741394043
2025-07-13,23.698467254638672
2025-07-14,23.60352325439453
2025-07-15,23.356664657592773
2025-07-16,23.185758590698242
2025-07-17,23.185758590698242
2025-07-20,22.891429901123047
2025-07-21,22.881935119628906
2025-07-22,22.77749252319336
2025-07-23,22.986373901367188
2025-07-24,22.815473556518555
2025-07-27,22.891429901123047
2025-07-28,22.93890380859375
2025-07-29,22.948396682739258
2025-07-30,23.014860153198242
2025-07-31,23.071826934814453
2025-08-03,22.786989212036133
2025-08-04,22.7015380859375
2025-08-05,22.900924682617188
2025-08-06,23.100309371948242
2025-08-07,23.109804153442383
2025-08-10,22.919912338256836
2025-08-11,22.834461212158203
2025-08-12,22.834461212158203
2025-08-13,22.834461212158203
2025-08-14,22.843957901000977
2025-08-17,22.93890380859375
2025-08-18,22.910417556762695
2025-08-19,22.834461212158203
2025-08-20,22.989648818969727
2025-08-21,22.82598876953125
2025-08-24,22.980022430419922
2025-08-25,22.90300750732422
2025-08-26,22.89337921142578
2025-08-27,22.85487174987793
2025-08-28,22.816364288330078
2025-08-31,22.912633895874023
2025-09-01,22.720090866088867
2025-09-02,22.864500045776367
2025-09-03,22.720090866088867
2025-09-04,22.768226623535156
2025-09-07,22.59493637084961
2025-09-08,22.383140563964844
2025-09-09,22.431276321411133
2025-09-10,22.306121826171875
2025-09-11,22.26761245727539
2025-09-14,22.296497344970703
2025-09-15,22.354257583618164
2025-09-16,22.479412078857422
2025-09-17,23.201448440551758
2025-09-18,23.55765151977539
2025-09-21,24.000503540039062
2025-09-22,24.019758224487305
2025-09-24,24.125656127929688
2025-09-25,24.125656127929688
2025-09-28,23.538400650024414
2025-09-29,24.058265686035156
2025-09-30,23.702062606811523
2025-10-01,23.702062606811523
2025-10-02,23.827213287353516
2025-10-05,23.86572265625
2025-10-06,23.923484802246094
2025-10-07,23.884977340698242
2025-10-08,23.942739486694336
2025-10-09,23.913860321044922
2025-10-12,23.586536407470703
2025-10-13,23.807960510253906
2025-10-14,23.827213287353516
2025-10-15,24.03900909423828
2025-10-16,24.356706619262695
2025-10-19,24.2219295501709
2025-10-20,24.125656127929688
2025-10-21,24.106403350830078
2025-10-22,25.0113525390625
2025-10-23,24.895830154418945
2025-10-26,24.780302047729492
2025-10-27,24.83806610107422
2025-10-28,24.915081024169922
2025-10-29,24.953590393066406
2025-10-30,24.934337615966797
2025-11-02,24.684030532836914
2025-11-03,24.62626838684082
2025-11-04,24.799556732177734
2025-11-05,24.645523071289062
2025-11-06,24.87657356262207
2025-11-09,24.741796493530273
2025-11-10,24.97284507751465
2025-11-11,24.97284507751465
2025-11-12,24.99209976196289
2025-11-13,24.895830154418945
2025-11-16,24.62626838684082
2025-11-17,24.87657356262207
2025-11-18,25.199565887451172
2025-11-19,25.25807762145996
2025-11-20,25.141054153442383
2025-11-23,24.965513229370117
2025-11-24,24.614437103271484
2025-11-25,23.961040496826172
2025-11-26,23.922033309936523
2025-11-27,24.019554138183594
2025-11-30,23.931785583496094
2025-12-01,23.72698974609375
2025-12-02,23.79525375366211
2025-12-03,23.85376739501953
2025-12-04,23.912281036376953
2025-12-07,23.81475830078125
2025-12-08,23.71723747253418
2025-12-09,23.73674201965332
2025-12-10,23.71723747253418
2025-12-11,23.307645797729492
2025-12-14,23.297893524169922
2025-12-15,23.405168533325195
2025-12-16,23.16136360168457
2025-12-17,23.01508331298828
2025-12-18,23.0638427734375
2025-12-21,23.239381790161133
2025-12-22,23.16136360168457
2025-12-23,23.17111587524414
2025-12-24,23.16136360168457
2025-12-25,23.102853775024414
2025-12-28,22.92731285095215
2025-12-29,23.112606048583984
2025-12-30,23.034587860107422
2025-12-31,23.239381790161133
2026-01-01,23.28814125061035
2026-01-04,22.917560577392578
2026-01-05,22.829792022705078
2026-01-06,22.85904884338379
2026-01-07,22.99557876586914
2026-01-08,23.0638427734375
2026-01-11,23.61971664428711
2026-01-12,23.65872573852539
2026-01-13,24.302366256713867
2026-01-14,24.36087989807129
2026-01-15,24.185340881347656
2026-01-18,24.36087989807129
2026-01-19,24.273109436035156
2026-01-20,24.38038444519043
2026-01-21,24.38038444519043
2026-01-22,24.614437103271484
2026-01-25,24.692453384399414
2026-01-26,24.633941650390625
2026-01-27,24.633941650390625
2026-01-28,25.0045223236084
2026-01-29,25.16055679321289
2026-02-01,24.555923461914062
2026-02-02,24.965513229370117
2026-02-03,24.965513229370117
2026-02-04,25.02402687072754
2026-02-05,24.965513229370117
2026-02-08,24.867992401123047
2026-02-09,25.04353141784668
2026-02-10,25.219070434570312
2026-02-11,25.18006134033203
2026-02-12,25.35559844970703
2026-02-15,25.141054153442383
2026-02-16,24.965513229370117
2026-02-17,24.809478759765625
2026-02-18,24.965513229370117
2026-02-19,25.06303596496582
2026-02-23,25.33609390258789
2026-02-24,25.199565887451172
2026-02-25,25.10204315185547
2026-02-26,24.341373443603516
2026-03-01,25.16055679321289
2026-03-02,25.570146560668945
2026-03-03,26.057754516601562
2026-03-04,25.453121185302734
2026-03-05,25.238571166992188
2026-03-08,26.272300720214844
2026-03-09,26.44784164428711
2026-03-10,26.233293533325195
2026-03-11,26.486848831176758
2026-03-12,26.194286346435547
2026-03-15,26.42833709716797
2026-03-16,26.389326095581055
2026-03-24,26.32938003540039
2026-03-25,26.526901245117188
2026-03-26,26.665163040161133
2026-03-29,26.645410537719727
2026-03-30,26.645410537719727
2026-03-31,27.060203552246094
2026-04-01,27.218217849731445
2026-04-02,27.257722854614258
2026-04-05,27.198467254638672
2026-04-06,27.15896224975586
2026-04-07,27.178714752197266
2026-04-08,26.645410537719727
2026-04-09,26.86268424987793
2026-04-12,26.823179244995117
2026-04-13,27.257722854614258
2026-04-14,27.020700454711914
2026-04-15,27.198467254638672
2026-04-16,27.178714752197266
2026-04-19,26.86268424987793
2026-04-20,26.86268424987793
2026-04-21,26.823179244995117
2026-04-22,26.921939849853516
2026-04-23,26.882434844970703
2026-04-26,26.783676147460938
2026-04-27,26.921939849853516
2026-04-28,27.11945915222168
2026-04-29,27.23797035217285
2026-04-30,27.415739059448242
2026-05-03,27.15896224975586
2026-05-04,27.15896224975586
2026-05-05,27.43549156188965
2026-05-06,26.665163040161133
2026-05-07,26.86268424987793
2026-05-10,27.0799560546875
2026-05-11,27.297225952148438
2026-05-12,27.474994659423828
2026-05-13,27.573755264282227
2026-05-14,27.356483459472656
2026-05-17,27.43549156188965
2026-05-18,27.43549156188965
2026-05-19,27.613258361816406
2026-05-20,27.51449966430664
2026-05-21,27.55400276184082
2026-05-24,27.55400276184082
2026-05-25,27.55400276184082
2026-05-26,27.55400276184082
2026-05-27,27.55400276184082
2026-05-28,27.55400276184082
2026-05-31,27.198467254638672
2026-06-01,27.020700454711914
2026-06-02,27.3799991607666
2026-06-03,27.260000228881836
2026-06-04,27.15999984741211
2026-06-07,27.0
2026-06-08,27.15999984741211
